scenario,policy,public_service_rate_percent_mean,public_service_rate_percent_std,public_service_rate_percent_ci95,public_unmet_kwh_mean,public_unmet_kwh_std,public_unmet_kwh_ci95,public_charging_cost_mean,public_charging_cost_std,public_charging_cost_ci95,public_peak_load_kw_mean,public_peak_load_kw_std,public_peak_load_kw_ci95,public_voltage_violation_rate_percent_mean,public_voltage_violation_rate_percent_std,public_voltage_violation_rate_percent_ci95
nominal_public,edf_safe,99.79646168424787,0.2705317911564254,0.3359095854485158,6.4660061868148215,8.51383454545175,10.571321841750967,466.8217595307418,209.45169841693698,260.0686332869435,170.41317052600644,15.271475636291528,18.96204149702915,0.0,0.0,0.0
nominal_public,fedavg_graph_safe,92.89213371662467,5.3413777518198176,6.632196455241245,134.46085829846558,64.66943319448188,80.29770698183174,442.33978723821804,212.38522454256963,263.71108706493175,170.81847852204208,12.829830214838069,15.93033828083132,0.0,0.0,0.0
nominal_public,fedavg_local_safe,92.6211177979513,5.583970919765395,6.93341565808946,140.46526387626497,70.97467724194392,88.12670151545397,441.3363661311656,212.23259847303976,263.52157676920916,170.6918319754391,12.626411550110273,15.677760648276136,0.0,0.0,0.0
nominal_public,grid_fedgat_no_guard,97.81881239909634,1.5117431967516912,1.8770771019360477,60.952213694863225,56.56720287981933,70.23745929496008,456.277932857529,196.0916280626659,243.47991491457563,171.9388400783544,11.178480953559898,13.87991735464183,0.0,0.0,0.0
nominal_public,grid_fedgat_pilot,99.25583171537816,0.9519093004364451,1.1819515079072689,23.013134829280737,29.408343354223504,36.515281189754326,455.26108243555365,202.17484651545507,251.03322826061276,172.73725859481317,12.557125073322803,15.591730124486745,0.0,0.0,0.0
nominal_public,uncontrolled,100.0,0.0,0.0,0.0,0.0,0.0,482.56785550600046,218.90871716396302,271.8110729954638,175.08471415087857,15.12146940971644,18.775784165984465,0.0,0.0,0.0
stressed_public_4x,edf_safe,77.37502950060168,16.153646927570676,20.05740182965939,651.7744588266706,620.1557784573357,770.0251033885048,1346.0502660965897,340.33614250290407,422.5831354334027,222.56054089803874,21.960325540235317,27.26734561214487,0.0,0.0,0.0
stressed_public_4x,fedavg_graph_safe,68.274917681042,10.834215863134686,13.452455786022483,825.6019840007814,614.2969778816824,762.7504416410603,1225.0828393359675,361.3131379913798,448.62951552192584,225.37651068618203,16.1888269407109,20.101083585431947,0.0,0.0,0.0
stressed_public_4x,fedavg_local_safe,68.43111086130746,10.376581316383465,12.884227444987197,818.3075063439968,599.2951404742552,744.1232002253515,1233.3351242823114,372.8911434952434,463.0055081270784,224.51775747031417,16.102993403525872,19.99450717247081,0.0,0.0,0.0
stressed_public_4x,grid_fedgat_no_guard,71.77754865278482,14.796556435985467,18.37235142395339,774.0198889983778,662.6770229957638,822.8222018906893,1271.0175133475855,316.0484749232492,392.42601299940446,226.5881644075173,16.29352634630248,20.23108506798835,0.0,0.0,0.0
stressed_public_4x,grid_fedgat_pilot,74.6784792293616,15.57554028541654,19.339587624974133,710.9671717747254,637.8598033976987,792.007553780255,1290.6412436907237,336.0052818957895,417.2056617363096,226.5376946426211,17.571018765038776,21.817301412311465,0.0,0.0,0.0
stressed_public_4x,uncontrolled,100.0,0.0,0.0,0.0,0.0,0.0,1930.2714220240018,875.6348686558521,1087.2442919818552,326.9088091515697,67.05374848862608,83.2582254429372,9.860026041666668,9.468414300689785,11.7565891572442
